"","az","date","senat","kammer_txt","richter_txt","anordnung","link"
"4346","1 BvR 1986/04",2005-03-08,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050308_1bvr198604.html"
"4348","1 BvR 552/04",2005-03-07,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050307_1bvr055204.html"
"4349","2 BvR 1378/02",2005-03-07,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050307_2bvr137802.html"
"4350","2 BvR 1658/02",2005-03-07,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050307_2bvr165802.html"
"4351","2 BvR 2207/04",2005-03-07,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050307_2bvr220704.html"
"4352","2 BvR 99/03",2005-03-04,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050304_2bvr009903.html"
"4353","1 BvR 1924/04",2005-03-03,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050303_1bvr192404.html"
"4354","1 BvR 155/05",2005-02-28,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050228_1bvr015505.html"
"4355","1 BvR 615/97",2005-02-28,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050228_1bvr061597.html"
"4356","1 BvR 294/05",2005-02-22,"1","1","Papier,Hohmann-Dennhardt,Gaier",0,"http://www.bverfg.de/e/rk20050222_1bvr029405.html"
"4357","2 BvR 109/05",2005-02-22,"2","2","Jentsch,Broß,Gerhardt",0,"http://www.bverfg.de/e/rk20050222_2bvr010905.html"
"4358","1 BvR 1403/96",2005-02-21,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050221_1bvr140396.html"
"4359","2 BvR 581/03",2005-02-16,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050216_2bvr058103.html"
"4360","2 BvL 1/05",2005-02-14,"2","2","Jentsch,Broß,Gerhardt",0,"http://www.bverfg.de/e/lk20050214_2bvl000105.html"
"4361","1 BvR 199/05",2005-02-14,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050214_1bvr019905.html"
"4362","1 BvR 240/04",2005-02-14,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050214_1bvr024004.html"
"4363","1 BvR 1112/00",2005-02-14,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050214_1bvr111200.html"
"4364","1 BvR 1783/02",2005-02-14,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050214_1bvr178302.html"
"4365","1 BvR 1908/01",2005-02-14,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050214_1bvr190801.html"
"4366","1 BvR 276/05",2005-02-11,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050211_1bvr027605.html"
"4367","1 BvR 1506/04",2005-02-09,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050209_1bvr150604.html"
"4368","1 BvR 2719/04",2005-02-09,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050209_1bvr271904.html"
"4369","1 BvR 2751/04",2005-02-09,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050209_1bvr275104.html"
"4370","2 BvR 984/04",2005-02-09,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050209_2bvr098404.html"
